Id,Name,"Parent Id","Group Name","Owner Id","Tax code","Account Id",account_number,"Payment term Label","Internal rating Id"
3287,"Bill Powell Advertising, Inc.",,,1,,2958,297532,,
3288,"BKG Media and Promotions",,,1,,2959,34545,,
3289,"Black Duck, Inc.",,,1,,2960,140730,,
3290,"Blink Marketing",,,1,,2961,141424,,
3291,"Blue Dog Merch",,,1,,2962,26555,,
3292,"BlueFish Promotional Marketing",,,1,,2963,34495,,
3293,"BLUE GRASS ADV SPEC",,,1,,2964,141760,,
3294,"Blue Rose Promotions",,,1,,2965,141910,,
3295,"Blue Soda Promo ",,,1,,2966,288473,,
3296,"BMP Partners, Inc.",,,1,,2967,129449,,
3297,"BND Corp",,,1,,2968,129474,,
3298,"BOB LILLY PROFESSIONAL PROMOTIONS ",,,1,,2969,254138,,
3299,"Bonus Marketing Inc",,,1,,2970,142835,,
3300,"Booker Promotions",,,1,,2971,142800,,
3301,"Boosters, Inc. ",,,1,,2972,143000,,
3302,"Boost Promotional Branding",,,1,,2973,282470,,
3303,"BOSS PROMO & PRINT ",,,1,,2974,32801,,
3304,"BOUNDLESS NETWORK ",,,1,,2975,143717,,
3305,"Bradley Company",,,1,,2976,144641,,
3306,Brainstorm,,,1,,2977,24460,,
3307,"Brainstorm Creative Group",,,1,,2978,144857,,
3308,"Brand Addition",,,1,,2979,202515,,
3309,"Brand Alliance, Inc.",,,1,,2980,145177,,
3310,"Brand Blvd Inc.",,,1,,2981,145124,,
3311,"Brandeditems ",,,1,,2982,190888,,
3312,"Brand Fuel Promotions",,,1,,2983,145025,,
3313,"Brand Inc. ",,,1,,2984,145212,,
3314,"BRAND IQ",,,1,,2985,145039,,
3315,"Brandit! Corporation",,,1,,2986,145139,,
3316,"Brand Makers",,,1,,2987,14517,,
3317,"BRANDVIA ALLIANCE INC",,,1,,2988,145037,,
3318,"Brattain Merchandise",,,1,,2989,27369,,
3319,"Bright Ideas",,,1,,2990,146026,,
3320,"Bright Ideas in Broad Ripple",,,1,,2991,146060,,
3321,"Broadway Marketing",,,1,,2992,146280,,
3322,"BROWN & BIGELOW",,,1,,2993,148500,,
3323,"Brown & Saenger",,,1,,2994,148195,,
3324,"Brucelli Advertising ",,,1,,2995,148960,,
3325,Bry-Lex,,,1,,2996,149189,,
3326,B-Squared,,,1,,2997,25401,,
3327,"Buffalo Specialties ",,,1,,2998,149870,,
3328,"Bulldog Office Products",,,1,,2999,149896,,
3329,"Bulletin Brands Inc",,,1,,3000,31830,,
3330,"BULLPEN MARKETING ",,,1,,3001,150076,,
3331,"BULTER BUSINESS PRODUCTS ",,,1,,3002,153951,,
3332,"BULTLER BUSINESS PRODUCTS ",,,1,,3003,153951,,
3333,"Business Branders",,,1,,3004,152061,,
3334,"Business Innovations",,,1,,3005,152930,,
3335,"BUTLER BUSINESS PRODUCTS ",,,1,,3006,153951,,
3336,"Callard Company, The",,,1,,3007,155966,,
3337,"Camp David, Inc/Branded Emblem",,,1,,3008,26332,,
3338,"Campus Marketing Specialists",,,1,,3009,156421,,
3339,"Canary Marketing",,,1,,3010,156455,,
3340,"Capital ideas",,,1,,3011,157004,,
3341,"Caprice Productions Inc.",,,1,,3012,157352,,
3342,"Capsco, inc.",,,1,,3013,32686,,
3343,"Captiv8 Inc",,,1,,3014,157364,,
